experiment,dataset,model,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
acgmt_depth,scaling,ACGMT (d=1),42,6.0454305667427635,5.682048379211574,0.7018002069965692,0.7225449449592662,1.9509675907039818,1.9142453513364024,0.03227950492873788,7.307715713977814e-05
acgmt_depth,scaling,ACGMT (d=2),42,4.3282348482976465,4.439093626120432,0.7865034224472116,0.7832385639530378,1.6473192170855064,1.6729343955367522,0.08447025809437037,0.00011818110942840576
acgmt_depth,scaling,ACGMT (d=3),42,3.092746146905829,3.1757004366642487,0.847445727704986,0.8449301940702901,1.3922620970677684,1.423355512436244,0.16925392393022776,0.00021391082555055618
acgmt_depth,scaling,ACGMT (d=4),42,2.4479193723697934,2.4918711368290025,0.8792527608958938,0.8783216549241629,1.2297085326747024,1.251071099406262,0.29202650487422943,0.00031130388379096985
acgmt_depth,scaling,ACGMT (d=5),42,1.9819384976071373,2.0475773585460773,0.9022379558896476,0.9000165695888721,1.0901542836375089,1.1208790346074968,0.3620179961435497,0.00040437793359160423
acgmt_depth,scaling,ACGMT (d=1),123,5.939198747469549,5.87275434777106,0.7202012659459502,0.7145241080001845,1.938047677367705,1.9172910924431412,0.03192516090348363,6.70161098241806e-05
acgmt_depth,scaling,ACGMT (d=2),123,3.5162744471958196,3.488569415727219,0.8343464866651967,0.830419866593605,1.4795499019511258,1.4698460915245806,0.08523566275835037,0.00011827237904071808
acgmt_depth,scaling,ACGMT (d=3),123,3.142999607529264,3.1009258746069537,0.8519316580045847,0.8492633051449341,1.4017298462515855,1.3927105505852664,0.17072768928483129,0.00020745908841490746
acgmt_depth,scaling,ACGMT (d=4),123,2.6764581663573037,2.60751356617654,0.8739106673245344,0.8732481869451274,1.2895549241122826,1.2734986951045684,0.28384255385026336,0.0002884608693420887
acgmt_depth,scaling,ACGMT (d=5),123,2.2117321892084054,2.1900737180616705,0.8958041491925546,0.8935400305912164,1.1612684084713527,1.1479819863448721,0.36689882120117545,0.00040233414620161057
acgmt_depth,scaling,ACGMT (d=1),456,5.177149985517399,5.018867749747545,0.7480184368811071,0.7599953783035384,1.8003359822202334,1.77597536002935,0.03205802105367184,6.782682612538338e-05
acgmt_depth,scaling,ACGMT (d=2),456,3.6456223800809195,3.4455815192739374,0.822560747043491,0.8352306674948233,1.4968854641690346,1.4533155267988667,0.08577506616711617,0.00011867331340909004
acgmt_depth,scaling,ACGMT (d=3),456,3.2202262562117347,3.1723509436741195,0.8432655712299904,0.8482966824214051,1.417572035407502,1.3912107112766114,0.17162615433335304,0.00020586606115102768
acgmt_depth,scaling,ACGMT (d=4),456,2.776017496460765,2.7545646636807346,0.8648860415556086,0.8682754192759133,1.310899185133371,1.3047248408578604,0.25622766790911555,0.00026474567130208015
acgmt_depth,scaling,ACGMT (d=5),456,2.3321685410011033,2.387844676496277,0.8864889995340872,0.8858121419355539,1.199651373525887,1.2194610327584647,0.34344359673559666,0.00035264063626527786
acgmt_depth,scaling,ACGMT (d=1),789,7.237543071943874,7.212376347539395,0.6695562614234147,0.6455135646940556,2.140519673742751,2.118172492535066,0.0319103728979826,3.422517329454422e-05
acgmt_depth,scaling,ACGMT (d=2),789,6.943224770299382,6.9135950403823685,0.6829939209938185,0.6601985887979738,2.0985235617880904,2.082995634579433,0.07481873501092196,8.510006591677666e-05
acgmt_depth,scaling,ACGMT (d=3),789,4.973508717372807,5.492059847401757,0.7729250385005995,0.730066676504401,1.7742266544857939,1.8847878604063706,0.11333484901115298,0.0001667332835495472
acgmt_depth,scaling,ACGMT (d=4),789,3.551356071824572,3.728710445526436,0.8378561114282694,0.8167348443244161,1.4723596680292834,1.5311501371026115,0.16468558507040143,0.0002103438600897789
acgmt_depth,scaling,ACGMT (d=5),789,3.5424438658387074,3.7318355917699857,0.8382630150743907,0.8165812441934325,1.471109541022852,1.5299417147295262,0.24697186797857285,0.00023062294349074364
acgmt_depth,scaling,ACGMT (d=1),1024,6.857813145484576,6.405425266888748,0.6766045741922286,0.686514942541843,2.1002954398756333,2.022229193607767,0.03180762007832527,6.460119038820267e-05
acgmt_depth,scaling,ACGMT (d=2),1024,5.602787387793602,5.540046798004922,0.7357881040869492,0.7288670437276032,1.8985053714732478,1.8713093348206422,0.07333617471158504,0.0001149461604654789
acgmt_depth,scaling,ACGMT (d=3),1024,3.401858387656928,3.581546453655046,0.8395778043998727,0.8247171344552335,1.4534446583834433,1.4957581190510885,0.12605280289426446,0.00016264477744698524
acgmt_depth,scaling,ACGMT (d=4),1024,3.273817032894393,3.4075388808532208,0.8456158791572315,0.8332331613675934,1.4221049616775898,1.4604924178499314,0.21235186187550426,0.0002309628762304783
acgmt_depth,scaling,ACGMT (d=5),1024,2.972706049799116,3.1683480302313076,0.8598154370232272,0.8449392939702608,1.34867125805118,1.3965892800793944,0.2959537720307708,0.0002847854048013687
acgmt_depth,correlated,ACGMT (d=1),42,0.3155801916686511,0.27829774484758113,0.9785122181182218,0.9812845679823471,0.4403393955556508,0.41295434591443175,0.032253446988761425,6.763683632016182e-05
acgmt_depth,correlated,ACGMT (d=2),42,0.2610257053242807,0.23890684686917252,0.982226820410089,0.9839335929452802,0.408834137704065,0.3869445948149943,0.08595513412728906,0.000118953175842762
acgmt_depth,correlated,ACGMT (d=3),42,0.2552074544026579,0.23660489882803604,0.9826229837626627,0.9840883981956627,0.40419417152166787,0.3831158645654529,0.15188364405184984,0.00017051957547664642
acgmt_depth,correlated,ACGMT (d=4),42,0.2552074544026579,0.23660489882803604,0.9826229837626627,0.9840883981956627,0.40419417152166787,0.3831158645654529,0.23425958398729563,0.0001650303602218628
acgmt_depth,correlated,ACGMT (d=5),42,0.2552074544026579,0.23660489882803604,0.9826229837626627,0.9840883981956627,0.40419417152166787,0.3831158645654529,0.31029737601056695,0.0001631663180887699
acgmt_depth,correlated,ACGMT (d=1),123,0.30954962088106563,0.3090393131829693,0.9788691421859169,0.9781743354750243,0.43595916883760116,0.4383149918131472,0.03222905099391937,6.680609658360481e-05
acgmt_depth,correlated,ACGMT (d=2),123,0.26010890472680953,0.26354895450686133,0.9822441252994755,0.9813870571749257,0.4054103124641296,0.40403564589366386,0.08598691271618009,0.00011834176257252693
acgmt_depth,correlated,ACGMT (d=3),123,0.2591009907336952,0.2649243592244186,0.982312928766967,0.9812899202713962,0.40473988701981267,0.40574312393024137,0.16871213912963867,0.0001379791647195816
acgmt_depth,correlated,ACGMT (d=4),123,0.2591009907336952,0.2649243592244186,0.982312928766967,0.9812899202713962,0.40473988701981267,0.40574312393024137,0.2591749466955662,0.00013975193724036217
acgmt_depth,correlated,ACGMT (d=5),123,0.2591009907336952,0.2649243592244186,0.982312928766967,0.9812899202713962,0.40473988701981267,0.40574312393024137,0.34078452875837684,0.00014349911361932755
acgmt_depth,correlated,ACGMT (d=1),456,0.325408059134018,0.28741937779605903,0.9784524870222155,0.9814850136873953,0.4492085379226798,0.42304795152596264,0.0322096748277545,6.928015500307083e-05
acgmt_depth,correlated,ACGMT (d=2),456,0.26582018097851423,0.24425485990959794,0.9823982116035037,0.984265586326534,0.41199668134595524,0.396294340505371,0.08569453516975045,0.0001240926794707775
acgmt_depth,correlated,ACGMT (d=3),456,0.26582018097851423,0.24425485990959794,0.9823982116035037,0.984265586326534,0.41199668134595524,0.396294340505371,0.15525117982178926,0.00011817179620265961
acgmt_depth,correlated,ACGMT (d=4),456,0.26582018097851423,0.24425485990959794,0.9823982116035037,0.984265586326534,0.41199668134595524,0.396294340505371,0.25106570729985833,0.0001137428916990757
acgmt_depth,correlated,ACGMT (d=5),456,0.26582018097851423,0.24425485990959794,0.9823982116035037,0.984265586326534,0.41199668134595524,0.396294340505371,0.3417270081117749,0.00011816201731562614
acgmt_depth,correlated,ACGMT (d=1),789,0.30378183318651797,0.30541849437527974,0.9802899443271366,0.9803035918977508,0.4364554375409052,0.4412710948376293,0.03241280606016517,6.615417078137398e-05
acgmt_depth,correlated,ACGMT (d=2),789,0.2561779227588515,0.26507300264304395,0.983378594214239,0.9829054686173303,0.4051428117879794,0.41291949641882025,0.08622686425223947,0.00011856202036142349
acgmt_depth,correlated,ACGMT (d=3),789,0.2525182799800038,0.263228481244514,0.9836160401541665,0.983024421617518,0.4023933764397902,0.41053805184415953,0.16078091273084283,0.0001399829052388668
