dataset,model,test_mse_mean,test_mse_std,test_r2_mean,test_r2_std,fit_time_mean
airfoil,ACGMT (full),14.170507725888891,1.602355182336307,0.7020658436181612,0.04396622161633875,0.0815134435892105
airfoil,"ACGMT (top1, no-std)",18.013298130362067,1.6225518269703685,0.6210424337838261,0.05132118588113563,0.012548349890857935
airfoil,"ACGMT (top3, std)",11.582780827797716,0.79471541820824,0.7563743137901925,0.029313734489496618,0.058844413980841635
airfoil,CART,22.03330016543993,2.153355252281775,0.5372730639359342,0.058004394743146,0.0006610218435525895
airfoil,GradientBoosting,5.513044943757339,0.4505107097259451,0.8843980917959726,0.01140019973362828,0.051566796097904447
airfoil,RHM (original),18.013298130362063,1.6225518269703658,0.6210424337838261,0.05132118588113552,0.06770871998742223
airfoil,RandomForest,17.66499059978066,1.0829423426333862,0.6295480823587928,0.030444648269954074,0.0547949006780982
airfoil,Ridge,24.95431297397436,1.335075968398147,0.47722949476874293,0.029467291907983053,0.00027993321418762207
california,ACGMT (full),0.40585560157652134,0.06907608057237977,0.6963587699195797,0.05447957511602777,0.5024757269769907
california,"ACGMT (top1, no-std)",2.27989316921197,3.9305683208504614,-0.7120122515544108,2.95710256532935,0.11403389247134328
california,"ACGMT (top3, std)",0.5699510179334408,0.4732277332248057,0.5741672182397749,0.3546866937951054,0.35898870714008807
california,CART,0.576950709875032,0.01123971500916502,0.5688262938965767,0.013882273405782174,0.02570183966308832
california,GradientBoosting,0.25259715146899236,0.008271462209203925,0.8112006438959873,0.008555077855618315,2.8969630231149495
california,RHM (original),2.2798931692119657,3.9305683208504587,-0.7120122515544076,2.9571025653293472,0.26191252917051316
california,RandomForest,0.5199503925991383,0.011971630010703225,0.6114231141979874,0.013436490483782534,1.7707220085896551
california,Ridge,0.5273650578791269,0.01911357692816031,0.6057798731869349,0.020262046567224794,0.0009284999221563339
concrete,ACGMT (full),43.27497900744108,1.5957610959201338,0.8376545576680915,0.01055206570495557,0.05184525856748223
concrete,"ACGMT (top1, no-std)",70.81274593760588,4.674737935100312,0.7340200196876315,0.026989062978216346,0.013954745326191186
concrete,"ACGMT (top3, std)",41.71049401119454,3.1460069089897664,0.8436520743331947,0.012530433455503073,0.037753211241215466
concrete,CART,87.60681530895243,16.902084425519575,0.6697268408929477,0.07468346964602939,0.0009847769513726234
concrete,GradientBoosting,20.482728838382204,4.522825917052409,0.9227720452606445,0.019073871575165036,0.07886540489271283
concrete,RHM (original),70.81274593760595,4.674737935100323,0.7340200196876314,0.026989062978216353,0.04884241223335266
concrete,RandomForest,57.9149916937616,8.245496422835371,0.782047406068165,0.03798863848474912,0.07373351398855447
concrete,Ridge,101.14703278473503,6.059670625638773,0.6209874755493138,0.022341085230375382,0.0002828904427587986
correlated,ACGMT (full),0.2528939319626953,0.012227733680095648,0.9831519131625533,0.0011836622258319153,0.2812730144709349
correlated,"ACGMT (top1, no-std)",0.2768612254793557,0.01321153399842059,0.9815710866960693,0.0009386858670218495,0.06753849340602755
correlated,"ACGMT (top3, std)",0.25948165120192995,0.013490629108634957,0.9827049698906025,0.0013990280697744576,0.18914496386423707
correlated,CART,2.7844613837516734,0.16575731765308238,0.814859988573976,0.00637021313505689,0.00488704964518547
correlated,GradientBoosting,0.33523121539840145,0.02197594237354929,0.9776863655090606,0.001462641812487823,0.4838258299976587
correlated,RHM (original),0.2768612254793557,0.013211533998420606,0.9815710866960693,0.000938685867021864,0.1863650543615222
