dataset,model,test_r2_mean,test_r2_std,test_mse_mean,fit_time_mean
airfoil,"ACGMT (full, d=4)",0.7020658436181612,0.04396622161633875,14.170507725888891,0.08213207423686981
airfoil,GBR(n=1),0.09913816630677434,0.014134790274907823,43.04297651151241,0.0010752767324447633
airfoil,GBR(n=100),0.8843980917959726,0.01140019973362828,5.513044943757339,0.05143813062459231
airfoil,GBR(n=16),0.6824214896673622,0.02968005566038665,15.132583488120872,0.008716200664639472
airfoil,GBR(n=2),0.1855724618919267,0.019080458442235666,38.899319856576746,0.0013754459097981453
airfoil,GBR(n=32),0.8092489764427174,0.02183966681572037,9.077977393352628,0.016860819514840843
airfoil,GBR(n=4),0.32299460079131004,0.019244669842884393,32.33460508259306,0.00241800919175148
airfoil,GBR(n=64),0.8620504939525645,0.015548080920788396,6.573662210011878,0.03304841173812747
airfoil,GBR(n=8),0.5022885898706244,0.024442581411046094,23.755320002603757,0.004508430417627096
california,"ACGMT (full, d=4)",0.6963587699195797,0.05447957511602777,0.40585560157652134,0.4965276475995779
california,GBR(n=1),0.1096370816419762,0.0021682902313219224,1.191799755694833,0.026576997060328723
california,GBR(n=100),0.8112006438959873,0.008555077855618315,0.25259715146899236,2.580234553758055
california,GBR(n=16),0.6516062735475,0.009598055279515665,0.4662241061389188,0.41265109097585084
california,GBR(n=2),0.20098189343095613,0.003145197884654157,1.0695103230690202,0.0522496722638607
california,GBR(n=32),0.7519618574988296,0.008330645417274518,0.33188013449455644,0.8234861717559397
california,GBR(n=4),0.3387500836103897,0.006194307150710779,0.8850480208453411,0.1040664623491466
california,GBR(n=64),0.7978865531934666,0.01000643128814745,0.27039460253293923,1.665151476021856
california,GBR(n=8),0.506751409159704,0.007635268923147108,0.6601545369635838,0.20729834316298365
concrete,"ACGMT (full, d=4)",0.8376545576680915,0.01055206570495557,43.27497900744108,0.05151905044913292
concrete,GBR(n=1),0.1277454037266765,0.010273351263719196,232.92659899754364,0.0012942680157721042
concrete,GBR(n=100),0.9227720452606445,0.019073871575165036,20.482728838382204,0.07887270608916878
concrete,GBR(n=16),0.7971331117380541,0.02538547788322907,53.95909401910912,0.013426782004535199
concrete,GBR(n=2),0.2393143330604059,0.012342633725002048,203.1002248341635,0.001995763275772333
concrete,GBR(n=32),0.881628773912742,0.025732613274667325,31.411194916325165,0.026066922675818206
concrete,GBR(n=4),0.410617889681133,0.0181293063022986,157.29297774349112,0.003645277488976717
concrete,GBR(n=64),0.9124656387800917,0.021180032695171075,23.219117740546874,0.05105228656902909
concrete,GBR(n=8),0.624919684390857,0.019384551835989434,100.00512475275667,0.006932647433131933
correlated,"ACGMT (full, d=4)",0.9831519131625533,0.0011836622258319153,0.2528939319626953,0.3315550873056054
correlated,GBR(n=1),0.15374436795535587,0.003711040585252218,12.7227779265479,0.005859836470335722
correlated,GBR(n=100),0.9776863655090606,0.001462641812487823,0.33523121539840145,0.5824899666011334
correlated,GBR(n=16),0.8839841026266668,0.008363463041859108,1.7455472833406795,0.08455636110156775
correlated,GBR(n=2),0.28126382084088764,0.004874496672943134,10.80592819150262,0.01094264406710863
correlated,GBR(n=32),0.9608509935026447,0.0033383718665758967,0.5890038408272401,0.168556316383183
correlated,GBR(n=4),0.4749170988800392,0.008921057191985956,7.895731407628591,0.02147074891254306
correlated,GBR(n=64),0.9767181906559135,0.0014532007411031727,0.34990868630627253,0.36034106463193893
correlated,GBR(n=8),0.7048417119075293,0.010412639227837701,4.439483933712574,0.04250461021438241
diabetes,"ACGMT (full, d=4)",0.38294935202735625,0.029654033440299696,3550.9709548985156,0.014764787908643485
diabetes,GBR(n=1),0.0736135362045788,0.010054398003239408,5328.71160771977,0.0009373784065246582
diabetes,GBR(n=100),0.3519121412813238,0.09285899949913501,3720.9374863899743,0.053125962428748605
diabetes,GBR(n=16),0.4012358658068786,0.05438480810080127,3435.269018887997,0.008892347384244204
diabetes,GBR(n=2),0.1399311539481634,0.01591630191544461,4946.116584155466,0.0013985030353069305
diabetes,GBR(n=32),0.3987211052216605,0.0831458073359122,3448.438388445456,0.01741146370768547
diabetes,GBR(n=4),0.23221371285071307,0.02913592151392279,4416.525742467987,0.00247205113992095
diabetes,GBR(n=64),0.3745397525228506,0.08759071387514634,3589.2202563549617,0.034180617053061725
diabetes,GBR(n=8),0.3410301477216606,0.04037731910456014,3786.553516672291,0.00461961692199111
friedman1,"ACGMT (full, d=4)",0.8501295601037139,0.005431503898240722,3.66480373223731,0.2853901763446629
friedman1,GBR(n=1),0.12171578223859725,0.0018442090377420175,21.48598771959889,0.009791705943644046
friedman1,GBR(n=100),0.9368110954407397,0.002701224191558413,1.545004664087252,0.8473879529163242
friedman1,GBR(n=16),0.7503961255541197,0.002138873225724006,6.106333327710205,0.14861042350530623
friedman1,GBR(n=2),0.2246892619120449,0.0026018705357012035,18.966263285586173,0.018938910868018865
friedman1,GBR(n=32),0.8699851299154663,0.004174247764795624,3.180557788925771,0.26738568004220725
friedman1,GBR(n=4),0.3829864011840981,0.0014791005661163451,15.09419977889543,0.03738910146057606
friedman1,GBR(n=64),0.924728167618842,0.0037092417470268473,1.8404321647262303,0.5381330050528049
friedman1,GBR(n=8),0.5760470201776998,0.0028518250193766827,10.37075882388827,0.07439217464998364
interaction,"ACGMT (full, d=4)",0.9526760504248685,0.01060904922063896,0.38897631527843973,0.30888369120657444
interaction,GBR(n=1),0.14332799928240492,0.004463435629482757,7.024622458567164,0.005428435746580362
interaction,GBR(n=100),0.9570979637740653,0.004492457728375735,0.35159444206047386,0.5167539979331195
interaction,GBR(n=16),0.858369325506971,0.006911144246845993,1.1605240248102096,0.07827969575300812
interaction,GBR(n=2),0.26336134635791003,0.007562309967937219,6.039551002618662,0.010110343620181084
interaction,GBR(n=32),0.9373046388697558,0.004086439354133897,0.5134852690477698,0.1563158616423607
interaction,GBR(n=4),0.45126801553927465,0.010580272660492357,4.498151584042869,0.019857932534068822
interaction,GBR(n=64),0.9556226795784702,0.003833648391837713,0.36375440695140887,0.3115286299958825
interaction,GBR(n=8),0.6758919013495184,0.009532486198870553,2.656341052256296,0.03934903610497713
irrelevant,"ACGMT (full, d=4)",0.992052660291159,0.0005311838460825239,0.3103414644940646,0.3750154164619744
irrelevant,GBR(n=1),0.1552244015954704,0.0026371502905336345,33.09859615566016,0.020592311304062604
irrelevant,GBR(n=100),0.9884057644919944,0.001069324671034424,0.45251153205867534,1.8192403838969766
irrelevant,GBR(n=16),0.8930256330194769,0.0037896972461953656,4.189500104935585,0.31136828986927867
irrelevant,GBR(n=2),0.2833628112047426,0.004158844819646166,28.07752362802974,0.04031132711097598
irrelevant,GBR(n=32),0.9715405683168159,0.001861374776500921,1.1127024281171625,0.5875018643215298
irrelevant,GBR(n=4),0.47806181422487837,0.003195509978082316,20.450120852542504,0.08003228455781937
irrelevant,GBR(n=64),0.9876097619190695,0.0011470395930271594,0.4836883480958116,1.178610851150006
irrelevant,GBR(n=8),0.7118187430675016,0.0036293094536365067,11.289996836972488,0.1595092755742371
regime,"ACGMT (full, d=4)",0.9137388918571265,0.00946463727184284,0.3254491234348538,0.23870286839082838
regime,GBR(n=1),0.1417716279786299,0.0034117188225900505,3.2438039723907104,0.004838645551353693
regime,GBR(n=100),0.9275384628425872,0.005074293350733598,0.2735273403394264,0.44254541378468276
regime,GBR(n=16),0.7964535703091744,0.008324769436808198,0.7691787643981571,0.07012547012418509
regime,GBR(n=2),0.25853053336671206,0.006144413593984414,2.802527785044812,0.009118148498237133
regime,GBR(n=32),0.8971464943809618,0.005821421840373635,0.3884657172341667,0.13993458896875383
regime,GBR(n=4),0.4332022054784178,0.00820243584579549,2.142421060246653,0.01792626306414604
regime,GBR(n=64),0.9259093684192108,0.005161345103109686,0.2797037794785544,0.2807476814836264
regime,GBR(n=8),0.6346151725403087,0.008231319144956652,1.3809908474890562,0.03541488125920296
scaling,"ACGMT (full, d=4)",0.8539626533674426,0.027321098234161696,2.998039738613187,0.27200944321230053
scaling,GBR(n=1),0.09634276718608774,0.0028267908022068288,18.56895943998114,0.005904734879732132
scaling,GBR(n=100),0.9700691965307678,0.0023940522709559047,0.6148869017813287,0.5278613125905395
scaling,GBR(n=16),0.7299907557157251,0.00851769862865351,5.54916056073262,0.0856896923854947
scaling,GBR(n=2),0.18169784226649308,0.004284490002842521,16.81487874697762,0.011082041449844838
scaling,GBR(n=32),0.8901923431582303,0.005964735684195227,2.2568286925707874,0.17143952138721943
scaling,GBR(n=4),0.32290699352584545,0.006872568034378629,13.913774547024985,0.021716994512826205
scaling,GBR(n=64),0.9587359919646719,0.0030050886863316807,0.8478662151028209,0.34371165428310635
scaling,GBR(n=8),0.5189970271346883,0.008537490694461997,9.884619372092201,0.04300147825852037
yacht,"ACGMT (full, d=4)",0.5768074167455554,0.04088131536012868,88.42856354216318,0.0010836844332516194
yacht,GBR(n=1),0.16213908408725003,0.041747543634325784,171.468631274573,0.0005990376695990563
yacht,GBR(n=100),0.9981298543065767,0.0012122458216370236,0.42284160115195346,0.019163772743195296
yacht,GBR(n=16),0.9593132745925228,0.004090914974493866,8.510174963968122,0.003494512476027012
yacht,GBR(n=2),0.32070086284585964,0.03340430673504419,139.12519978966347,0.0007350104860961437
yacht,GBR(n=32),0.9956737012683355,0.00234994445770227,0.9678253552791103,0.006585972849279642
yacht,GBR(n=4),0.5514167959957087,0.020716192822421948,92.02934671228925,0.001134838443249464
yacht,GBR(n=64),0.9979585441763333,0.0013087064912585594,0.46127349982056476,0.012577952351421118
yacht,GBR(n=8),0.8018834373024625,0.009855694775136786,40.81687778901793,0.0019410825334489346
