dataset,model,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
scaling,Ridge,42,6.751351823721082,6.313619491915644,0.6669795982105395,0.6917052572018452,2.0636497156049693,2.0183178641041697,0.001577500021085143,0.0001878999755717814
scaling,CART,42,8.979770502371847,10.711964656354874,0.5570595550701428,0.47693357307602946,2.362005846518198,2.609111960190399,0.01004840002860874,0.0015217000036500394
scaling,RandomForest,42,5.988154961011131,6.876316577001153,0.7046254108567008,0.6642286958820129,1.8964964018216786,2.0390978127239006,0.8110169000574388,0.010267700010444969
scaling,GradientBoosting,42,0.3144104309694994,0.6074490106184716,0.9844912410459228,0.9703381971733628,0.4450820254305195,0.6080670960371423,1.565531199972611,0.0015161000192165375
scaling,RHM (original),42,3.287400981495935,3.28015866576698,0.8378440904450677,0.8398294871120052,1.4311819925120457,1.4165041659413127,1.543251600000076,1.655122299969662
scaling,"ACGMT (top1, no-std)",42,3.287400981495935,3.28015866576698,0.8378440904450677,0.8398294871120052,1.4311819925120457,1.4165041659413127,0.3933993999962695,0.0023740999749861658
scaling,"ACGMT (top3, std)",42,2.4631639945882764,2.5754405269353295,0.8785007973856395,0.8742409522999997,1.2342089271084604,1.2792471704934674,1.1359911999898031,0.0020396000472828746
scaling,ACGMT (full),42,2.4479193723697934,2.491871136829002,0.8792527608958938,0.8783216549241629,1.2297085326747024,1.251071099406262,1.900479700008873,0.0024542000028304756
scaling,Ridge,123,6.702918498271789,6.69090350041991,0.6842220322929957,0.674753696143954,2.065101399682072,2.0201623850761794,0.001940299989655614,0.00029639998683705926
scaling,CART,123,9.215076161270941,11.047381647511,0.5658729815644241,0.4629843267184215,2.407817221976205,2.6466889574940935,0.014987299975473434,0.00044949998846277595
scaling,RandomForest,123,6.108003980215493,7.049155307349275,0.712248763860692,0.6573389963136227,1.9139276836602233,2.071906289665677,1.2355015999637544,0.016359300003387034
scaling,GradientBoosting,123,0.29067993565294586,0.6286556256272844,0.9863059174362099,0.969440910540594,0.429887694630573,0.6169701852092451,1.7335036000004038,0.003257300006225705
scaling,RHM (original),123,2.729707329647104,2.8255218859832727,0.8714020716180392,0.8626507541436296,1.2896135587406874,1.3116751426752662,1.2932760000112467,1.677038999972865
scaling,"ACGMT (top1, no-std)",123,2.729707329647104,2.8255218859832723,0.8714020716180392,0.8626507541436296,1.2896135587406874,1.3116751426752662,0.4158301000134088,0.0017584000015631318
scaling,"ACGMT (top3, std)",123,2.652539662822505,2.6060228876257034,0.8750374804341908,0.8733206491602628,1.2878063529379065,1.2778720833805497,1.2029041000059806,0.002328899980057031
scaling,ACGMT (full),123,2.6764581663573033,2.60751356617654,0.8739106673245344,0.8732481869451274,1.2895549241122826,1.2734986951045684,1.9141559000127017,0.002626200031954795
