dataset,model,test_r2_mean,test_r2_std,test_mse_mean,fit_time_mean
airfoil,ACGMT (d=1),0.5793986897527867,0.022361719077693992,20.080614376961897,0.0221862462349236
airfoil,ACGMT (d=2),0.6764279374601105,0.03808376035967239,15.392790961053853,0.05156215652823448
airfoil,ACGMT (d=3),0.7020658436181612,0.04396622161633875,14.170507725888891,0.07520902873948217
airfoil,ACGMT (d=4),0.7020658436181612,0.04396622161633875,14.170507725888891,0.08059442602097988
airfoil,ACGMT (d=5),0.7020658436181612,0.04396622161633875,14.170507725888891,0.08075022622942925
california,ACGMT (d=1),0.5176234358852316,0.19285155242171387,0.6448721203893198,0.0998816603794694
california,ACGMT (d=2),0.5753209453787623,0.15713754243702438,0.5682043059889497,0.22663323376327754
california,ACGMT (d=3),0.6482699499453012,0.03335999978555932,0.47090477681402226,0.4347633359953761
california,ACGMT (d=4),0.6963587699195797,0.05447957511602777,0.40585560157652134,0.7047723897732794
california,ACGMT (d=5),0.6769946387083957,0.04413627085211207,0.4322842986284641,0.9458508243784308
concrete,ACGMT (d=1),0.8252521122396562,0.008871553734048793,46.5943336358564,0.01961548225954175
concrete,ACGMT (d=2),0.843749301170298,0.006536750467225389,41.695685333976556,0.03428555512800813
concrete,ACGMT (d=3),0.8412681860912888,0.008451292209205229,42.3350703380715,0.048454996291548015
concrete,ACGMT (d=4),0.8376545576680915,0.01055206570495557,43.27497900744108,0.0513083721511066
concrete,ACGMT (d=5),0.8376545576680915,0.01055206570495557,43.27497900744108,0.051701882388442755
correlated,ACGMT (d=1),0.9801896483054285,0.0013407393667447145,0.2973711340305345,0.032319292332977055
correlated,ACGMT (d=2),0.9831165888931451,0.0011207346982053106,0.2534481449071171,0.08601614627987146
correlated,ACGMT (d=3),0.9831519131625533,0.0011836622258319153,0.2528939319626953,0.16025998517870904
correlated,ACGMT (d=4),0.9831519131625533,0.0011836622258319153,0.2528939319626953,0.24531003907322885
correlated,ACGMT (d=5),0.9831006472842224,0.0011960506391271663,0.25368887626377556,0.3318549729883671
diabetes,ACGMT (d=1),0.38294935202735625,0.029654033440299696,3550.9709548985156,0.013849563524127006
diabetes,ACGMT (d=2),0.38294935202735625,0.029654033440299696,3550.9709548985156,0.014467354025691747
diabetes,ACGMT (d=3),0.38294935202735625,0.029654033440299696,3550.9709548985156,0.014451670926064253
diabetes,ACGMT (d=4),0.38294935202735625,0.029654033440299696,3550.9709548985156,0.014472456090152264
diabetes,ACGMT (d=5),0.38294935202735625,0.029654033440299696,3550.9709548985156,0.014440439734607935
friedman1,ACGMT (d=1),0.7570176653032562,0.011003305203346485,5.941770773563329,0.040210614819079636
friedman1,ACGMT (d=2),0.8340302536757207,0.009353342010116677,4.05740828214883,0.1019971908070147
friedman1,ACGMT (d=3),0.8475993684038317,0.006468869854898309,3.726620329864594,0.19908862421289086
friedman1,ACGMT (d=4),0.8501295601037139,0.005431503898240722,3.66480373223731,0.31812744596973064
friedman1,ACGMT (d=5),0.8489500586853946,0.006895470754968318,3.693565847070938,0.3852944880723953
interaction,ACGMT (d=1),0.8569327481846407,0.01607883660677734,1.1710115643425894,0.03238347889855504
interaction,ACGMT (d=2),0.9238511354768921,0.009382560690143133,0.6246863694625575,0.08653488727286458
interaction,ACGMT (d=3),0.9475853228706201,0.011720953567313834,0.43100915670627493,0.17424798300489783
interaction,ACGMT (d=4),0.9526760504248685,0.01060904922063896,0.38897631527843973,0.2785242195241153
interaction,ACGMT (d=5),0.9530985834651826,0.009806231648876194,0.38544462763343657,0.3636990459635854
irrelevant,ACGMT (d=1),0.9825122614788174,0.0008129529822660462,0.6844328223440914,0.046861841529607776
irrelevant,ACGMT (d=2),0.9901674516826322,0.0005437043060016605,0.3848052168700823,0.1144187705591321
irrelevant,ACGMT (d=3),0.9920303578456023,0.0003536427232841026,0.3114745840009278,0.21675219656899572
irrelevant,ACGMT (d=4),0.992052660291159,0.0005311838460825239,0.3103414644940646,0.3399450462311506
irrelevant,ACGMT (d=5),0.9919944666946993,0.0005225671095491657,0.31271459973510307,0.43399242889136075
regime,ACGMT (d=1),0.7539764415313133,0.019743247902784537,0.9293853643903798,0.03213420296087861
regime,ACGMT (d=2),0.8251047200448067,0.016110926249823895,0.6606300651672962,0.08134599681943655
regime,ACGMT (d=3),0.9124305292411616,0.00959516919719964,0.33041029457191895,0.14987647011876107
regime,ACGMT (d=4),0.9137388918571265,0.00946463727184284,0.3254491234348538,0.23788264775648713
regime,ACGMT (d=5),0.9133577565962522,0.009496332285693463,0.32686933470433377,0.31956016439944507
scaling,ACGMT (d=1),0.7058185876997776,0.04272004291635454,6.038294418231665,0.03199613597244024
scaling,ACGMT (d=2),0.7675909461134086,0.07382430515600666,4.7653772799017755,0.08072717934846878
scaling,ACGMT (d=3),0.8194547985192528,0.05095911510614527,3.704516711200425,0.15019908389076592
scaling,ACGMT (d=4),0.8539626533674426,0.027321098234161696,2.998039738613187,0.2418268347159028
scaling,ACGMT (d=5),0.8681778560558671,0.03595188708042356,2.7051358750210635,0.3230572108179331
yacht,ACGMT (d=1),0.5768074167455554,0.04088131536012868,88.42856354216318,0.0008323228918015957
yacht,ACGMT (d=2),0.5768074167455554,0.04088131536012868,88.42856354216318,0.0007553747855126858
yacht,ACGMT (d=3),0.5768074167455554,0.04088131536012868,88.42856354216318,0.0007404111325740814
yacht,ACGMT (d=4),0.5768074167455554,0.04088131536012868,88.42856354216318,0.0007317463867366314
yacht,ACGMT (d=5),0.5768074167455554,0.04088131536012868,88.42856354216318,0.0007289413362741471
