dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
scaling,no-std,42,1.644616488546209,1.6740089306543504,0.9188768622780253,0.918257957518864,1.00651337680437,1.0029817635294083,1.664919100003317,0.003049299994017929
scaling,with-std,42,2.4631639945882764,2.5754405269353295,0.8785007973856395,0.8742409522999997,1.2342089271084604,1.2792471704934674,1.9747029999853112,0.0031551000429317355
scaling,no-std,123,1.6268899273750441,1.716081315350813,0.9233563715444334,0.9165809064651366,0.993901620571351,1.0084219016659262,4.5639718000311404,0.008949900045990944
scaling,with-std,123,2.652539662822505,2.6060228876257034,0.8750374804341908,0.8733206491602628,1.2878063529379065,1.2778720833805497,4.256181200034916,0.011761899979319423
scaling,no-std,456,1.7176272437541797,1.7504183362236168,0.9163998727200253,0.9162941700113475,1.0183987476122356,1.038451747921029,3.785867300000973,0.010982900043018162
scaling,with-std,456,3.1393796701825605,3.151983348493741,0.84720052563105,0.8492706704242527,1.4012623601741172,1.3951392161942167,3.7839640000020154,0.0068607000284828246
scaling,no-std,789,1.7628147393801246,1.8751062903545284,0.9195153538834518,0.9078390099659315,1.0345535387054265,1.0527320005007832,2.728410099982284,0.004047300026286393
scaling,with-std,789,3.2318219999832465,3.2536110846303625,0.8524450447516725,0.8400858552457526,1.4200873135174048,1.442735706392091,2.4569315999979153,0.0033079999848268926
scaling,no-std,1024,1.595406924129726,1.5814734438693316,0.9247650394345729,0.9226018144364782,0.9787947052051851,0.9821315815930786,3.0792799000046216,0.003922700008843094
scaling,with-std,1024,2.9827728568524603,3.228696069692327,0.8593407143551585,0.8419858275211684,1.358573258700261,1.4247840368975648,2.85518630000297,0.004443700017873198
correlated,no-std,42,0.2530431359959492,0.24474432078462652,0.9827703516997951,0.9835410247400317,0.4023215765747164,0.3913903132669992,3.17634129995713,0.006377900019288063
correlated,with-std,42,0.2530431359959492,0.24474432078462652,0.9827703516997951,0.9835410247400317,0.4023215765747164,0.3913903132669992,3.8003879000316374,0.008264599950052798
correlated,no-std,123,0.2513527593357231,0.27692306825046814,0.9828418480901926,0.9804425206469338,0.3981047698841266,0.4150308281769359,3.1494900999823585,0.020988100033719093
correlated,with-std,123,0.2513527593357231,0.27692306825046814,0.9828418480901926,0.9804425206469338,0.3981047698841266,0.4150308281769359,3.0503696000087075,0.006509700033348054
correlated,no-std,456,0.2576893514297046,0.24692069755654453,0.9829366099323261,0.9840938583521597,0.40491135912494963,0.3956715471655546,3.2176682999706827,0.0037671999889425933
correlated,with-std,456,0.2576893514297046,0.24692069755654453,0.9829366099323261,0.9840938583521597,0.40491135912494963,0.3956715471655546,4.414628300000913,0.009437100030481815
correlated,no-std,789,0.24949688522684782,0.2647564142834823,0.9838120751117864,0.9829258853689192,0.4005899934839405,0.41033945229368146,3.9685504999943078,0.008368199982214719
correlated,with-std,789,0.24949688522684782,0.2647564142834823,0.9838120751117864,0.9829258853689192,0.4005899934839405,0.41033945229368146,2.953664199972991,0.005626300000585616
correlated,no-std,1024,0.24311155970751322,0.26406375513452884,0.9832933224530838,0.9825215603449684,0.39853477626065853,0.4143643032243748,3.0195961999706924,0.013133100001141429
correlated,with-std,1024,0.24311155970751322,0.26406375513452884,0.9832933224530838,0.9825215603449684,0.39853477626065853,0.4143643032243748,3.4762562999967486,0.006033400015439838
irrelevant,no-std,42,0.2504458627666014,0.32946342597723544,0.9935844643532337,0.9916953924078242,0.3986934805856162,0.459084711793516,4.592596100002993,0.021455999987665564
irrelevant,with-std,42,0.2504458627666014,0.32946342597723544,0.9935844643532337,0.9916953924078242,0.3986934805856162,0.459084711793516,5.3450859999866225,0.008410200010985136
irrelevant,no-std,123,0.24328808233974716,0.27899903924769215,0.9940156299299867,0.992577269042731,0.39190409799591314,0.4238649543569678,5.526183700014371,0.011037799995392561
irrelevant,with-std,123,0.24328808233974716,0.27899903924769215,0.9940156299299867,0.992577269042731,0.39190409799591314,0.4238649543569678,6.671973799995612,0.012846100027672946
