dataset,model,test_mse_mean,test_mse_std,test_r2_mean,fit_time_mean
airfoil,ACGMT (full),14.170507725888887,1.602355182336307,0.7020658436181613,0.5806665200041607
airfoil,"ACGMT (top1, no-std)",18.013298130362067,1.6225518269703694,0.6210424337838261,0.0768763600033708
airfoil,"ACGMT (top3, std)",11.582780827797716,0.7947154182082407,0.7563743137901925,0.4125324000022374
airfoil,CART,22.03330016543993,2.153355252281775,0.5372730639359342,0.002573699993081391
airfoil,GradientBoosting,5.513044943757339,0.4505107097259451,0.8843980917959726,0.16527422001818196
airfoil,RHM (original),18.013298130362067,1.6225518269703685,0.6210424337838261,0.43931309998733925
airfoil,RandomForest,17.66499059978066,1.0829423426333862,0.6295480823587928,0.25881952000781894
airfoil,Ridge,24.95431297397436,1.3350759683981381,0.47722949476874293,0.002358419995289296
california,ACGMT (full),0.40585560157652123,0.06907608057237988,0.6963587699195799,4.620999759982806
california,"ACGMT (top1, no-std)",2.2798931692119586,3.9305683208504356,-0.7120122515544018,1.0367217999999412
california,"ACGMT (top3, std)",0.5699510179334412,0.47322773322480616,0.5741672182397746,3.203207980003208
california,CART,0.576950709875032,0.01123971500916502,0.5688262938965767,0.11122785998741165
california,GradientBoosting,0.25259715146899236,0.008271462209203925,0.8112006438959873,16.351667859987355
california,RHM (original),2.2798931692119586,3.9305683208504365,-0.7120122515544023,3.69491088000359
california,RandomForest,0.5199503925991383,0.011971630010703225,0.6114231141979874,10.14983546002768
california,Ridge,0.5273650578791269,0.01911357692816141,0.6057798731869349,0.0061862199916504325
concrete,ACGMT (full),43.274979007441075,1.5957610959201245,0.8376545576680915,0.40042702000355346
concrete,"ACGMT (top1, no-std)",70.81274593760585,4.674737935100327,0.7340200196876318,0.11200520001584664
concrete,"ACGMT (top3, std)",41.71049401119457,3.14600690898978,0.8436520743331947,0.3250826600124128
concrete,CART,87.60681530895243,16.902084425519575,0.6697268408929477,0.003190320008434355
concrete,GradientBoosting,20.482728838382204,4.522825917052409,0.9227720452606445,0.31909945999504996
concrete,RHM (original),70.81274593760585,4.674737935100335,0.7340200196876318,0.30270006000064315
concrete,RandomForest,57.9149916937616,8.245496422835371,0.782047406068165,0.326066899986472
concrete,Ridge,101.14703278473493,6.059670625638793,0.6209874755493142,0.0014884600066579878
correlated,ACGMT (full),0.2528939319626954,0.012227733680095563,0.9831519131625533,3.2263631599955263
correlated,"ACGMT (top1, no-std)",0.27686122547935577,0.013211533998420764,0.9815710866960693,0.6077674599946477
correlated,"ACGMT (top3, std)",0.25948165120193006,0.013490629108634838,0.9827049698906025,2.026743279991206
correlated,CART,2.7844613837516734,0.16575731765308238,0.814859988573976,0.021576339995954187
correlated,GradientBoosting,0.33297174571879146,0.02383628406241402,0.9778359574087869,2.2955414599971844
correlated,RHM (original),0.27686122547935577,0.013211533998420783,0.9815710866960693,1.5163255200022832
correlated,RandomForest,2.068093276104939,0.1522640511204856,0.8625413973097353,1.6275384400039912
correlated,Ridge,0.7106048990039461,0.051476474896715745,0.9526893819831665,0.002626379998400807
diabetes,ACGMT (full),3550.9709548985156,334.82423498160875,0.38294935202735625,0.0892099800053984
diabetes,"ACGMT (top1, no-std)",3605.813915501778,245.46411740520858,0.37052588268120534,0.03223865999607369
diabetes,"ACGMT (top3, std)",3682.1545011561925,376.3205785949195,0.3574145111023511,0.07357544000260532
diabetes,CART,4214.103042245005,545.9827415193099,0.2652422814778027,0.0017776799853891135
diabetes,GradientBoosting,3720.9374863899743,562.2143879531802,0.3519121412813238,0.19109083999646828
diabetes,RHM (original),3605.813915501778,245.46411740520858,0.37052588268120534,0.08455046002054586
diabetes,RandomForest,3277.122364753331,404.02422544102353,0.42826164388226823,0.23016531998291612
diabetes,Ridge,3381.424530240919,282.83037869962834,0.4116632601093542,0.001063340005930513
friedman1,ACGMT (full),2.849444584012627,0.09983979850008273,0.8796795935734869,2.2775637999759057
friedman1,"ACGMT (top1, no-std)",5.871939242403592,0.22754948421365487,0.7520588434472392,0.44314409999642523
friedman1,"ACGMT (top3, std)",2.8215050336460172,0.06848495470377411,0.8808575615679324,1.5755002400139346
friedman1,CART,8.076271119584504,0.29987296747040737,0.6588898275035285,0.041992040001787245
friedman1,GradientBoosting,0.7266832207293514,0.06578616650870572,0.969310564800853,3.2829919599811546
friedman1,RHM (original),5.871939242403592,0.2275494842136552,0.7520588434472392,1.0159559999941847
friedman1,RandomForest,6.260494712101493,0.12933445148092804,0.7355926304314413,2.2047007800079883
friedman1,Ridge,5.801902447563942,0.14125826353829352,0.7550452756534946,0.0026439800160005687
interaction,ACGMT (full),0.38897631527843973,0.09297070152027127,0.9526760504248685,2.2383828800055197
interaction,"ACGMT (top1, no-std)",4.745536452043215,0.6856895692777096,0.420507956528804,0.3368699600105174
interaction,"ACGMT (top3, std)",0.38465771494399476,0.07081516692698275,0.9531712475200174,1.3170520000043324
interaction,CART,1.9473589348379896,0.10730937477652602,0.7624209245655541,0.016047939995769412
interaction,GradientBoosting,0.3515834810094644,0.03604951158221261,0.9570993315636951,1.850958060019184
interaction,RHM (original),4.745536452043215,0.6856895692777101,0.420507956528804,0.9388677199953236
interaction,RandomForest,1.3866498488550218,0.06401428578293382,0.8307737903345057,1.2301232800120487
interaction,Ridge,5.101695378161627,0.2763106976866435,0.37697173801565065,0.0021600799984298645
irrelevant,ACGMT (full),0.3103414644940645,0.011216690503763014,0.992052660291159,2.248855699994601
irrelevant,"ACGMT (top1, no-std)",0.31569957661837034,0.013701632021271384,0.9919215599944389,0.5105085399933159
irrelevant,"ACGMT (top3, std)",0.3030785447293147,0.018962657105547964,0.9922474467523722,1.3846697199973277
irrelevant,CART,7.424351721211551,0.3653170993974086,0.810073716950666,0.07034327998990193
irrelevant,GradientBoosting,0.4525167172471189,0.030112981871000078,0.9884056507871047,6.203498860006221
irrelevant,RHM (original),0.31569957661837034,0.013701632021271433,0.9919215599944389,1.306571720005013
irrelevant,RandomForest,5.00199368824108,0.28130264179829223,0.8719242767263232,4.698961940023582
irrelevant,Ridge,1.8095395718395149,0.1657706454440147,0.9537727429158709,0.00409930000314489
regime,ACGMT (full),0.3254491234348538,0.029394673557794633,0.9137388918571265,5.778652900003363
regime,"ACGMT (top1, no-std)",2.7913961938722944,0.12796038925117667,0.2614474226554869,1.375018720002845
regime,"ACGMT (top3, std)",0.35231661365295686,0.04634437758616379,0.9065955234018259,3.9298968799994327
regime,CART,0.9499381342568916,0.030421996704459497,0.7485732431450197,0.06537682001944631
regime,GradientBoosting,0.27352514601746225,0.013881269626243323,0.927539053752302,4.181754800002091
regime,RHM (original),2.7913961938722944,0.12796038925117667,0.2614474226554869,3.076631900004577
regime,RandomForest,0.8203915745756815,0.026369193191941587,0.7828804897001976,2.671730899985414
regime,Ridge,2.758071164328219,0.11100433730871143,0.2701435475833766,0.012410200014710427
scaling,ACGMT (full),2.998039738613187,0.5407325323900833,0.8539626533674426,1.662608299998101
scaling,"ACGMT (top1, no-std)",3.01959595938912,0.16746297872532737,0.8530171126524386,0.42493263999931513
scaling,"ACGMT (top3, std)",2.9631507834754927,0.3421983343803948,0.8557807909302871,1.0322591600008308
scaling,CART,10.62271288369104,0.4470099048558731,0.48299781498294825,0.01507636000169441
scaling,GradientBoosting,0.6080319158521059,0.01888501019074451,0.9704055727671553,1.622175479994621
scaling,RHM (original),3.01959595938912,0.16746297872532712,0.8530171126524386,1.227902180014644
scaling,RandomForest,6.830354940521436,0.17342823549170347,0.667578583816422,1.1316177800181322
scaling,Ridge,6.491665245666941,0.3196939237618381,0.6840299234529212,0.002064900007098913
yacht,ACGMT (full),88.42856354216316,34.50710668258726,0.5768074167455555,0.0034348399960435925
yacht,"ACGMT (top1, no-std)",75.81971611002992,28.126604260255856,0.631916605109722,0.01511981999501586
yacht,"ACGMT (top3, std)",75.81971611002992,28.126604260255856,0.631916605109722,0.026960760005749762
yacht,CART,1.210337776364441,0.4221970175184506,0.99401546473976,0.0017301199957728385
yacht,GradientBoosting,0.42284160115195346,0.35210010354994875,0.9981298543065767,0.09836493999464438
yacht,RHM (original),75.81971611002993,28.12660426025585,0.631916605109722,0.04402327998541296
yacht,RandomForest,0.977061136313727,0.630002952364753,0.9953144177674407,0.164315360004548
yacht,Ridge,82.84109811735712,31.62826532425919,0.6022833646387282,0.0016580000054091215
